feature,logloss
f155,0.19101582606315187
f156,0.191007584052067
f157,0.1897926211788948
f158,0.18871035186964139
f159,0.19036845101865477
f160,0.19210843829186494
f161,0.19019709140337954
f162,0.1898037390184946
f163,0.1885163066288286
f164,0.18854113138345224
f165,0.1928794238932944
f166,0.18895733368967965
f167,0.18792184734240688
f168,0.18853363003874077
f169,0.18789224097682372
f170,0.18820419948353953
f171,0.18870716058612824
f172,0.18722727431405575
f173,0.18707308909880846
f174,0.19125728700014696
f175,0.1919968136139825
f176,0.19290175164861023
f177,0.19121047122458074
f178,0.19182035279391207
f179,0.18804125918890977
f180,0.18908679236832285
f181,0.19023141890920234
f182,0.19256898190555402
f183,0.19129992970143483
f184,0.19069347660666625
f185,0.19085218860551478
f186,0.18828779695119185
f187,0.19209778339096
f188,0.19167883460667126
f189,0.192901970198585
f190,0.19136753837538958
f191,0.19197517086200386
f192,0.18997899693204495
f193,0.19008349909883418
f194,0.19134314914625927
f195,0.19252307273972785
f196,0.19070879238341826
f197,0.19082358926047782
f198,0.188880711228697
f199,0.18386650296038226
f200,0.1831952093441648
f201,0.18354740842494893
f202,0.1837929675075351
f203,0.18742133840641986
f204,0.18717299552395406
f205,0.19283996504003204
f206,0.19261287069578567
f207,0.18744418877411617
f208,0.17748642361492398
f209,0.17110066218317585
f210,0.16407034582768643
f211,0.18569985000169767
f212,0.18633884147140023
f213,0.19120089924788405
f214,0.18170039904177032
f215,0.18422684642877551
f216,0.18218039469537187
f217,0.1874130100831512
f218,0.18822367499013645
f219,0.18869181516219868
f220,0.19229041824016263
f221,0.1928754068787757
f222,0.1882042815018588
f223,0.17702900144310849
f224,0.18515603561113528
f225,0.18153294175766538
f226,0.192901970198585
f227,0.19281577689289175
f228,0.1928954683823904
f229,0.192901970198585
f230,0.1926329402132413
f231,0.19276825364592282
f232,0.19290200436480612
f233,0.19290194612797743
f234,0.19284867811766854
f235,0.192901046582491
f236,0.192901970198585
f237,0.19241872911467675
f238,0.192901970198585
f239,0.19289704494932836
f240,0.192901970198585
f241,0.1925792100555831
f242,0.19285417302597965
f243,0.192901970198585
f244,0.19284245986162496
f245,0.192901970198585
f246,0.192901970198585
f247,0.1928477462753498
f248,0.192901970198585
