feature,logloss
f91,0.18676476593149777
f92,0.1917208204392333
f93,0.18688347079364787
f94,0.17756536993063274
f95,0.17794200387429296
f96,0.18220925394554147
f97,0.18307267621939435
f98,0.18113367009546544
f99,0.182730126145917
f100,0.18471466059937214
f101,0.1846359996949337
f102,0.1917208204392333
f103,0.18158025290318475
f104,0.18389678066293033
f105,0.17796942902727841
f106,0.18290361681311684
f107,0.1851187523926111
f108,0.17272280072029902
f109,0.18484162839361956
f110,0.18861023386006948
f111,0.1877954855543392
f112,0.1917208204392333
f113,0.18364462333974135
f114,0.18656968982097108
f115,0.1796367311599274
f116,0.18391697592995446
f117,0.1869887419416812
f118,0.17410881231714317
f119,0.18663719619841557
f120,0.19171521799193658
f121,0.18820369410723609
f122,0.1917208204392333
f123,0.15600738928629887
f124,0.1577959611156801
f125,0.1422245910991952
f126,0.16326930280937282
f127,0.1491567385376803
f128,0.1917208204392333
f129,0.1917208204392333
f130,0.14375224504790715
f131,0.14885628543884688
f132,0.13748555938184964
f133,0.15138994872358316
f134,0.141243731573222
f135,0.1917208204392333
f136,0.1917208204392333
f137,0.13831754809241925
f138,0.14222996283354297
f139,0.17680082932398122
f140,0.1565187969183907
f141,0.15196852765380314
f142,0.15497281402980134
f143,0.15350253400489
f144,0.1917208204392333
f145,0.1917208204392333
f146,0.18166666708214327
f147,0.1519480363845359
f148,0.17880125524163185
f149,0.15909324555513554
f150,0.14351020492019287
f151,0.1514385043499424
f152,0.1902455322795875
f153,0.18978553103372212
f154,0.1917208204392333
f155,0.18975283853766628
f156,0.1893490311573209
f157,0.18831312659268262
f158,0.18745292670300173
f159,0.18964593615680228
f160,0.19091024994419623
f161,0.18913756941118753
f162,0.18880429316761066
f163,0.1865598238149352
f164,0.18694487783761254
f165,0.191693558393125
f166,0.18750551189821926
f167,0.1859699340066032
f168,0.18638755692538572
f169,0.18666104244726012
f170,0.1865491002283579
f171,0.18686845277808903
f172,0.18543014525521626
f173,0.185067856866074
f174,0.19046217349322744
f175,0.190832911209611
f176,0.19172052684475954
f177,0.1899354239044973
f178,0.19070852536717856
f179,0.18636290016342424
f180,0.18745988579955297
f181,0.18885061889309063
f182,0.19123991772726165
f183,0.19021170908873872
f184,0.18939793165266167
f185,0.18982610434422087
f186,0.18657905846753844
f187,0.19106924586837856
f188,0.19043003545229423
