iter	Passed	Remaining
487	163019	1507260
488	163338	1506785
489	163744	1507115
490	164057	1506585
491	164359	1505964
492	164665	1505366
493	164989	1504940
494	165403	1505337
495	165736	1504991
496	166065	1504612
497	166381	1504111
498	166688	1503533
499	167003	1503029
500	167318	1502523
501	167661	1502271
502	167986	1501859
503	168296	1501309
504	168607	1500775
505	169044	1501356
506	169360	1500864
507	169770	1501202
508	170084	1500686
509	170408	1500260
510	170749	1499987
511	171093	1499739
512	171419	1499332
513	171729	1498787
514	172043	1498285
515	172387	1498033
516	172721	1497698
517	173059	1497395
518	173369	1496859
519	173702	1496517
520	174014	1495990
521	174331	1495509
522	174657	1495108
523	174998	1494833
524	175341	1494580
525	175702	1494471
526	176011	1493929
527	176312	1493317
528	176688	1493338
529	177012	1492917
530	177338	1492518
531	177658	1492061
532	177958	1491449
533	178302	1491198
534	178645	1490936
535	178971	1490541
536	179292	1490097
537	179632	1489814
538	179961	1489440
539	180282	1488996
540	180601	1488544
541	180920	1488087
542	181247	1487696
543	181628	1487754
544	181972	1487498
545	182371	1487700
546	182780	1487974
547	183093	1487470
548	183411	1487004
549	183745	1486664
550	184073	1486281
551	184405	1485931
552	184733	1485550
553	185066	1485207
554	185380	1484716
555	185706	1484315
556	186038	1483962
557	186372	1483633
558	186710	1483332
559	187022	1482824
560	187445	1483194
561	187779	1482858
562	188111	1482508
563	188430	1482053
564	188765	1481725
565	189096	1481367
566	189427	1481007
567	189741	1480517
568	190143	1480716
569	190478	1480386
570	190797	1479932
571	191129	1479581
572	191447	1479120
573	191746	1478518
574	192083	1478206
575	192401	1477753
576	192709	1477220
577	193036	1476833
578	193361	1476425
579	193669	1475893
580	194044	1475874
581	194348	1475312
582	194677	1474944
583	194995	1474489
584	195323	1474106
585	195662	1473813
586	195980	1473363
587	196308	1472983
588	196705	1473117
589	197026	1472691
590	197342	1472222
591	197689	1471984
592	198076	1472046
593	198384	1471521
594	198694	1471006
595	199040	1470760
596	199359	1470315
597	199672	1469828
598	199984	1469334
599	200373	1469404
600	200684	1468902
601	201009	1468502
602	201347	1468202
603	201721	1468156
604	202055	1467827
605	202388	1467484
606	202703	1467012
607	203013	1466503
608	203367	1466314
609	203759	1466403
610	204110	1466191
611	204447	1465872
612	204757	1465365
613	205147	1465434
614	205464	1464978
615	205791	1464593
616	206107	1464134
617	206527	1464406
618	206843	1463946
619	207163	1463508
620	207491	1463135
621	207797	1462601
622	208137	1462305
623	208461	1461904
624	208853	1461974
625	209251	1462089
626	209560	1461578
627	209861	1461010
628	210185	1460605
629	210507	1460188
630	210843	1459863
631	211156	1459385
632	211510	1459187
633	211893	1459188
634	212230	1458875
635	212570	1458578
636	212898	1458206
637	213233	1457878
638	213556	1457463
639	213870	1456995
640	214198	1456617
641	214532	1456281
642	214922	1456325
643	215262	1456032
644	215584	1455611
645	215889	1455078
646	216226	1454763
647	216553	1454381
648	216986	1454714
649	217386	1454817
650	217720	1454478
651	218040	1454052
652	218375	1453719
653	218699	1453313
654	219028	1452947
655	219359	1452584
656	219669	1452092
657	219984	1451633
658	220329	1451364
659	220641	1450884
660	220971	1450522
661	221296	1450128
662	221645	1449888
663	221977	1449536
664	222319	1449254
665	222635	1448799
666	222980	1448539
667	223294	1448071
668	223616	1447657
669	223933	1447209
670	224261	1446835
671	224579	1446398
672	224896	1445954
673	225228	1445604
674	225531	1445070
675	225860	1444705
676	226182	1444292
677	226575	1444336
678	226884	1443843
679	227218	1443505
680	227543	1443116
681	227865	1442701
682	228207	1442421
683	228518	1441936
684	228850	1441593
685	229163	1441123
686	229478	1440670
687	229796	1440234
688	230127	1439885
689	230474	1439631
690	230817	1439350
691	231143	1438965
692	231484	1438679
693	231834	1438442
694	232169	1438114
695	232504	1437785
696	232839	1437458
697	233154	1437009
698	233529	1436925
699	233929	1436993
700	234243	1436537
701	234570	1436160
702	234908	1435850
703	235245	1435529
704	235566	1435119
705	235912	1434853
706	236230	1434425
707	236611	1434371
708	236954	1434093
709	237285	1433741
710	237616	1433383
711	237929	1432926
712	238267	1432613
713	238579	1432143
714	238895	1431702
715	239228	1431361
716	239544	1430920
717	239870	1430539
718	240194	1430142
719	240528	1429808
720	240865	1429491
721	241251	1429467
722	241583	1429116
723	241909	1428733
724	242233	1428342
725	242547	1427887
726	242887	1427589
727	243236	1427343
728	243573	1427028
729	243893	1426609
730	244211	1426179
731	244613	1426242
732	244930	1425811
733	245235	1425304
734	245575	1425005
735	245898	1424606
736	246279	1424542
737	246611	1424198
738	246924	1423744
739	247260	1423419
740	247574	1422970
741	247910	1422647
742	248259	1422398
743	248576	1421965
744	248878	1421447
745	249196	1421018
746	249527	1420671
747	249850	1420272
748	250156	1419781
749	250575	1419926
750	250914	1419619
751	251232	1419195
752	251626	1419199
753	251949	1418802
754	252287	1418489
755	252641	1418268
756	252976	1417938
757	253359	1417877
758	253686	1417504
759	254009	1417105
760	254329	1416690
761	254728	1416720
762	255045	1416289
763	255359	1415843
764	255677	1415418
765	256015	1415105
766	256333	1414681
767	256675	1414391
768	256975	1413865
769	257286	1413403
770	257616	1413046
771	257954	1412735
772	258294	1412430
773	258600	1411947
774	258919	1411529
775	259247	1411160
776	259604	1410953
777	259949	1410674
778	260279	1410322
779	260614	1409989
780	260957	1409707
781	261277	1409294
782	261613	1408972
783	261936	1408579
784	262246	1408111
785	262553	1407634
786	262880	1407263
787	263196	1406833
788	263520	1406442
789	263848	1406079
790	264188	1405777
791	264515	1405407
792	264828	1404961
793	265242	1405048
794	265555	1404606
795	265898	1404316
796	266230	1403971
797	266654	1404112
798	266972	1403693
799	267287	1403258
800	267599	1402808
801	267923	1402423
802	268247	1402035
803	268642	1402018
804	268975	1401677
805	269320	1401399
806	269656	1401078
807	270079	1401205
808	270409	1400849
809	270719	1400387
810	271052	1400046
811	271376	1399660
812	271710	1399326
813	272050	1399021
814	272372	1398626
815	272704	1398278
816	273049	1398002
817	273414	1397822
818	273825	1397880
819	274167	1397583
820	274499	1397241
821	274811	1396792
822	275188	1396673
823	275514	1396297
824	275854	1395989
825	276193	1395679
826	276498	1395199
827	276828	1394840
828	277163	1394509
829	277503	1394202
830	277818	1393772
831	278145	1393399
832	278486	1393099
833	278797	1392652
834	279107	1392195
835	279445	1391881
836	279763	1391462
837	280175	1391514
838	280490	1391086
839	280827	1390763
840	281139	1390321
841	281470	1389968
842	281797	1389598
843	282117	1389195
844	282440	1388804
845	282780	1388498
846	283118	1388183
847	283428	1387729
848	283756	1387364
849	284074	1386951
850	284411	1386632
851	284747	1386304
852	285083	1385982
853	285410	1385612
854	285760	1385354
855	286103	1385059
856	286433	1384706
857	286755	1384311
858	287066	1383866
859	287377	1383419
860	287728	1383168
861	288074	1382892
862	288405	1382539
863	288734	1382180
864	289056	1381789
865	289370	1381359
866	289690	1380958
867	290024	1380621
868	290343	1380217
